ResponseID,Datesubmitted,INSPT,LPT,TECH,SEFF,EXP,TLX,ATT,BEH
5,2024-09-13 14:35:13,3.20,4.60,3.20,4.40,2.00,4.17,3.40,3.40
7,2024-09-13 16:24:35,2.60,3.20,4.00,4.00,2.00,3.17,2.40,3.20
17,2024-09-16 10:55:39,3.40,2.60,4.00,4.00,3.00,3.00,3.60,3.80
19,2024-09-16 11:12:14,4.20,3.60,4.00,4.40,4.00,2.83,3.60,4.20
31,2024-09-16 22:12:35,3.20,2.40,4.60,4.00,2.00,3.50,4.00,4.00
33,2024-09-16 22:15:37,3.20,3.00,4.00,3.60,1.00,4.17,3.60,3.60
37,2024-09-17 00:09:44,1.80,3.60,4.80,3.40,3.00,3.33,3.00,3.80
47,2024-09-18 13:48:36,3.40,3.00,3.40,3.20,4.00,3.33,2.00,2.60
51,2024-09-18 15:37:04,3.00,2.20,3.20,2.60,3.00,3.33,2.40,2.60
53,2024-09-18 15:54:19,2.40,3.00,2.60,2.60,2.00,3.67,2.60,2.00
55,2024-09-18 16:05:04,3.00,3.80,4.00,3.80,4.00,3.50,3.80,3.80
57,2024-09-18 16:51:11,3.40,3.00,2.40,3.60,4.00,3.83,1.80,2.80
65,2024-09-18 17:45:04,3.20,3.60,2.40,3.20,2.00,3.83,2.00,2.60
67,2024-09-18 18:15:41,2.80,4.40,4.00,2.80,3.00,3.00,3.00,4.00
73,2024-09-19 11:24:10,4.00,2.40,4.00,3.00,4.00,3.67,3.20,3.20
101,2024-09-22 00:03:37,2.60,2.00,3.40,3.80,4.00,3.33,3.60,4.00
103,2024-09-23 00:40:43,4.00,1.60,3.80,4.80,3.00,3.33,3.60,3.80
109,2024-09-23 13:53:10,2.00,2.60,1.60,4.00,1.00,3.33,2.00,2.80
111,2024-09-23 13:45:16,3.80,3.60,4.00,3.80,1.00,4.00,2.80,3.60
119,2024-09-24 08:15:11,3.20,2.60,3.20,3.80,1.00,3.33,3.20,4.40
125,2024-09-25 00:57:23,2.80,3.60,3.80,4.00,1.00,3.50,4.00,4.00
135,2024-09-25 10:08:50,2.80,3.20,4.00,4.80,4.00,4.00,4.20,4.00
175,2024-10-01 15:37:31,3.60,3.60,3.60,3.20,3.00,3.67,2.00,3.20
185,2024-10-03 11:56:35,1.40,2.20,3.40,3.80,3.00,3.67,2.80,3.60
187,2024-10-03 12:02:55,1.60,3.80,3.20,3.60,2.00,3.67,2.00,2.60
189,2024-10-03 12:07:23,2.40,3.20,1.80,3.60,1.00,3.83,2.60,4.00
191,2024-10-03 12:47:18,3.80,1.20,3.60,4.00,2.00,2.17,2.20,2.80
193,2024-10-03 15:49:49,2.60,2.60,2.60,2.60,2.00,2.67,3.40,3.00
195,2024-10-05 21:19:54,2.20,3.00,4.80,3.60,2.00,3.50,2.00,4.00
197,2024-10-05 21:23:29,3.80,2.60,3.80,3.40,2.00,3.17,2.80,3.20
